"","university_names","lon","lat"
"1","University+of+British+Columbia","-123.2459939","49.2606052"
"2","University+of+Pittsburgh+-+Pittsburgh+Campus","-79.960835","40.4443533"
"3","Nagoya+University","136.967573","35.153491"
"4","Case+Western+Reserve+University","-81.6083838","41.5043413"
"5","Tohoku+University","140.874074","38.253834"
"6","University+of+Texas+MD+Anderson+Cancer+Center","-95.3969227","29.7071429"
"7","University+of+Nottingham","-1.1951582","52.938636"
"8","Mines+ParisTech","2.339632","48.845585"
"9","University+of+British+Columbia","-123.2459939","49.2606052"
"10","University+of+Pittsburgh+-+Pittsburgh+Campus","-79.960835","40.4443533"
